"product_id";"basic_nutrition_id";"subcategory_id";"description";"source";"is_final";"is_verified";"language"
"01166";"01166";"0100";"Cheese, mexican, queso asadero";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01167";"01167";"0100";"Cheese, mexican, queso chihuahua";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01168";"01168";"0100";"Cheese, low fat, cheddar or colby";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01169";"01169";"0100";"Cheese, low-sodium, cheddar or colby";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01171";"01171";"0100";"Egg, whole, raw, frozen, pasteurized (Includes foods for USDA's Food Distribution Program)";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01172";"01172";"0100";"Egg, white, raw, frozen, pasteurized";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01173";"01173";"0100";"Egg, white, dried";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01174";"01174";"0100";"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01175";"01175";"0100";"Milk, fluid, 1% fat, without added vitamin A and vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01178";"01178";"0100";"Sour cream, reduced fat";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01179";"01179";"0100";"Sour cream, light";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01180";"01180";"0100";"Sour cream, fat free";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01184";"01184";"0100";"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01185";"01185";"0100";"Parmesan cheese topping, fat free";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01186";"01186";"0100";"Cheese, cream, fat free";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01187";"01187";"0100";"Yogurt, chocolate, nonfat milk";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
"01188";"01188";"0100";"KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce";"http://www.ars.usda.gov/nutrientdata";0;0;"en"
