"product_id";"subcategory_id";"description";"source";"is_final";"is_verified";"language_id"
"01173";"0100";"Egg, white, dried";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01174";"0100";"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01175";"0100";"Milk, fluid, 1% fat, without added vitamin A and vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01178";"0100";"Sour cream, reduced fat";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01179";"0100";"Sour cream, light";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01180";"0100";"Sour cream, fat free";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01184";"0100";"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01185";"0100";"Parmesan cheese topping, fat free";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01186";"0100";"Cheese, cream, fat free";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01187";"0100";"Yogurt, chocolate, nonfat milk";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01188";"0100";"KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01189";"0100";"KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01190";"0100";"KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01191";"0100";"KRAFT VELVEETA Pasteurized Process Cheese Spread";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01192";"0100";"KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01193";"0100";"KRAFT BREAKSTONE'S Reduced Fat Sour Cream";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01194";"0100";"KRAFT BREAKSTONE'S FREE Fat Free Sour Cream";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01199";"0100";"Cream, half and half, fat free";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01200";"0100";"Reddi Wip Fat Free Whipped Topping";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01202";"0100";"Milk, chocolate, fluid, commercial, reduced fat, with added calcium";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01203";"0100";"Yogurt, fruit, lowfat, with low calorie sweetener";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01204";"0100";"Cheese, parmesan, dry grated, reduced fat";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01205";"0100";"Cream substitute, flavored, liquid";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01206";"0100";"Cream substitute, flavored, powdered";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01208";"0100";"Cheese, provolone, reduced fat";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01209";"0100";"Cheese, Mexican, blend, reduced fat";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01211";"0100";"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01212";"0100";"Milk, dry, whole, without added vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01215";"0100";"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01216";"0100";"Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01217";"0100";"Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01218";"0100";"Yogurt, fruit variety, nonfat, fortified with vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01219";"0100";"Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01220";"0100";"Yogurt, vanilla, low fat, fortified with vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01221";"0100";"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener, fortified with vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01222";"0100";"Yogurt, chocolate, nonfat milk, fortified with vitamin D";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01223";"0100";"Protein supplement, milk based, Muscle Milk, powder";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01224";"0100";"Protein supplement, milk based, Muscle Milk Light, powder";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01225";"0100";"Dulce de Leche";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01226";"0100";"Egg substitute, liquid or frozen, fat free";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01227";"0100";"Cheese, dry white, queso seco";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01228";"0100";"Cheese, fresh, queso fresco";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01229";"0100";"Cheese, white, queso blanco";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01230";"0100";"Milk, buttermilk, fluid, whole";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01231";"0100";"Yogurt, vanilla flavor, lowfat milk, sweetened with low calorie sweetener";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01235";"0100";"Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01236";"0100";"Ice cream, soft serve, chocolate";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01237";"0100";"Ice cream, bar or stick, chocolate covered";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01238";"0100";"Ice cream sandwich";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01239";"0100";"Ice cream cookie sandwich";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01240";"0100";"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01241";"0100";"Ice cream sandwich, made with light ice cream, vanilla";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01242";"0100";"Ice cream sandwich, vanilla, light, no sugar added";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01243";"0100";"Fat free ice cream, no sugar added, flavors other than chocolate";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01244";"0100";"Milk dessert bar, frozen, made from lowfat milk";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01001";"0100";"Butter, salted";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01002";"0100";"Butter, whipped, with salt";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01003";"0100";"Butter oil, anhydrous";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01004";"0100";"Cheese, blue";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01005";"0100";"Cheese, brick";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01006";"0100";"Cheese, brie";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01007";"0100";"Cheese, camembert";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01008";"0100";"Cheese, caraway";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01009";"0100";"Cheese, cheddar (Includes foods for USDA's Food Distribution Program)";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01010";"0100";"Cheese, cheshire";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01011";"0100";"Cheese, colby";"http://www.ars.usda.gov/nutrientdata";0;0;1
"01012";"0100";"Cheese, cottage, creamed, large or small curd";"http://www.ars.usda.gov/nutrientdata";0;0;1
